total_population,california_county,approximate_location,ces_4_0_score,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,twocounty
5243,Imperial,El Centro,41.64,75-80%,0.05,8.776915342,0.151,392.74,52.75,0,41.28102113,908.7761586,0,3,1.21,10,1,41.36,5.05,100.38,20.31,26.1,13.2,50.8,13.8,14.7,79.48,8.24,Other County
3707,Sacramento,Sacramento,41.63,75-80%,0.046,9.110191728,0.408,265.26,52.1,0.05,194.0633342,2190.33321,9.1,14.8,0.84,5,1.5,51.75,6.32,43.55,7.94,8.1,5.5,71.1,15.5,43.9,63.52,6.59,Other County
9735,San Bernardino,San Bernardino,41.62,75-80%,0.073,10.95087837,0.035,783.25,77.27,0.22,604.7096661,314.2642099,12.9,0,0.06,0,0,41.77,5.1,123.59,23.85,19.1,2.4,40.6,7.4,30.1,78.67,8.16,Other County
4141,Santa Clara,San Jose,41.62,75-80%,0.041,8.920972219,0.498,291.53,54.33,0,170.0646718,1071.243873,13.8,66.25,0.66,4,10,52.04,6.35,48.88,9.56,26.2,19.7,42.2,6.9,22.8,63.14,6.55,Other County
6381,Los Angeles,Industry,41.6,75-80%,0.052,12.17440042,0.492,690.94,62.94,0,2426.57666,2167.40133,24.25,63.05,1.22,5,2.5,71.98,8.79,29.61,10.07,15.9,37.7,35.3,5.5,24.6,45.63,4.73,Los Angeles
4472,Alameda,Alameda,41.6,75-80%,0.029,9.416794882,0.905,110.66,18.15,0,426.0000102,1011.03674,63.85,533.35,3.43,11,6,52.91,6.46,64.7,12.67,12.2,6.7,32.8,10.3,13.8,62.08,6.44,Other County
7835,Kern,Bakersfield,41.6,75-80%,0.065,15.82184044,0.233,767.59,29.75,0,39.95619963,1097.067037,5.6,1,0.895,0,1.5,49.45,6.04,56.78,19.05,25.4,6.6,55.2,11.7,16.4,66.42,6.89,Other County
5019,Orange,Garden Grove,41.59,75-80%,0.046,11.92795274,0.105,481.19,74.73,0,3764.833334,2664.329718,0.7,0,0.37,0,0.2,45.42,5.55,56.43,17.07,31.8,27.8,35,3.1,27.5,72.3,7.5,Other County
3119,Los Angeles,Los Angeles,41.58,75-80%,0.067,10.98471997,0.398,726.64,44.32,0,319.1063283,1741.756484,0,0,0.12,0,0,42.07,5.14,63.98,13.45,42.4,12.3,68.8,10.1,37.4,78.04,8.09,Los Angeles
10765,Imperial,Calexico,41.58,75-80%,0.054,12.08454797,0.361,440.52,21.72,5.37,442.0072225,540.5683456,1.4,0,0.03,26,0,44.03,5.38,60.28,21.12,25.1,42.1,39.4,15.7,15.8,74.55,7.73,Other County
