total_population,california_county,approximate_location,ces_4_0_score,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,twocounty
2031,Los Angeles,Los Angeles,75.99,95-100% (highest scores),0.048,12.41537427,1.141,787.94,65.25,0,2566.769979,3665.685846,33.55,13.75,9.24,7,23.1,76.29,9.32,51.49,12.45,43.8,22.1,58.9,9.6,25.6,78.64,8.16,Los Angeles
3548,Los Angeles,Los Angeles,75.72,95-100% (highest scores),0.047,12.27407804,0.571,787.94,88.26,0,4157.740072,928.4647117,58.65,20,22.27,7,6.5,74.56,9.1,76.1,20.87,59,22.4,82.3,3.3,26.1,80.19,8.32,Los Angeles
1820,Los Angeles,Los Angeles,75.55,95-100% (highest scores),0.047,12.25156535,0.704,787.94,64.02,0,2428.106649,1931.043768,58.7,28.3,6.875,7,15.05,76.42,9.33,134.16,14.79,25.7,24.4,44.5,8.7,21.4,78.05,8.1,Los Angeles
3900,Los Angeles,South Gate,75.11,95-100% (highest scores),0.045,12.04869771,0.702,668.94,93.14,0,6048.803101,2127.781743,109.1,55.55,4.99,10,18.75,79.14,9.66,50.83,17.7,47.7,21,40.1,9.9,23.6,74.93,7.77,Los Angeles
7326,Los Angeles,Los Angeles,74.91,95-100% (highest scores),0.044,12.0998549,0.321,787.94,84.24,0,6373.313395,3154.098167,0.95,16,0.06,7,7.2,63.39,7.74,113.88,27.88,50,14.2,63.7,12.7,38.4,93.3,9.68,Los Angeles
3553,Los Angeles,Florence-Graham,74.9,95-100% (highest scores),0.044,12.07139901,0.27,718.21,85.22,0,5829.563232,994.4754349,117.3,58.5,1.405,0,2.2,65.5,8,101.27,25.19,48.9,21.4,53.4,8.9,33.1,90.28,9.37,Los Angeles
5768,Los Angeles,Los Angeles,74.44,95-100% (highest scores),0.042,12.06226955,0.693,806.8,78.27,25.99,58279.08212,2511.594785,16.65,60.3,8.38,0,15.95,78.23,9.55,70.46,13.6,25.6,18,44.3,10.3,26.8,75.13,7.79,Los Angeles
4832,Los Angeles,Long Beach,74.37,95-100% (highest scores),0.043,12.4277485,0.901,329,91.1,0.29,11027.86328,1778.158275,2,10.75,0.63,10,5,67.45,8.24,84.23,18.48,45.2,14.9,57.6,9.8,32.4,87.05,9.03,Los Angeles
4881,Los Angeles,Commerce,74.06,95-100% (highest scores),0.048,12.15074524,0.938,524.04,91.76,0,3547.573242,2783.139002,103.9,47.75,5.155,7,6.25,77.46,9.46,56.57,18.99,43.5,21.2,50.1,6.4,16.4,75.49,7.83,Los Angeles
7155,Los Angeles,Compton,73.92,95-100% (highest scores),0.043,12.21728053,0.478,495.6,95.13,0.04,10830.04993,2630.563134,4.7,24.3,0.925,7,1.6,68.8,8.4,92.82,23.89,37.4,14.5,54.7,9.4,25.9,84.83,8.8,Los Angeles
5748,Los Angeles,Bell Gardens,73.82,95-100% (highest scores),0.046,12.02968272,0.152,514.47,83.88,15.65,5064.103231,755.4452536,5.3,14,2.67,10,3.2,66.98,8.18,54.25,23.93,53.5,20.7,80.1,11.8,36.3,87.02,9.03,Los Angeles
6215,Los Angeles,East Los Angeles,73.71,95-100% (highest scores),0.048,12.21812171,0.584,673.57,94.88,0,3287.703288,2649.188078,36.85,12.6,2.39,7,2.5,73.5,8.97,62.39,17.48,49.1,31,56.4,6.6,25.3,79.17,8.21,Los Angeles
4756,Los Angeles,Los Angeles,73.34,95-100% (highest scores),0.044,12.0688233,0.841,787.94,83.98,0,8898.52661,3529.731022,0,1.5,0.135,7,5,61.33,7.49,136.47,27.86,50.9,13.9,86.9,17.8,35.7,94.43,9.8,Los Angeles
6035,Los Angeles,Los Angeles,73.33,95-100% (highest scores),0.044,12.07407493,0.522,787.94,82.12,0,8065.676676,1794.888252,4.55,7.5,0.45,7,0.5,63.36,7.74,110.5,23.51,44.4,10.9,66.5,8.6,45.6,91.38,9.48,Los Angeles
5687,Los Angeles,Los Angeles,73.31,95-100% (highest scores),0.048,12.55763366,1.068,787.94,80.24,0,2124.592977,2360.78323,68,15.55,2.115,7,2,74.5,9.1,79.94,16.72,46.2,42.3,66.8,4.8,34.8,77.69,8.06,Los Angeles
4735,Los Angeles,Compton,73.16,95-100% (highest scores),0.043,12.15347903,0.256,459.74,96.26,0,13561.58,802.7858005,7.4,30.75,1.525,10,3.5,65.3,7.97,95.67,24.68,34.1,13.2,54.8,19.9,32.2,88.46,9.18,Los Angeles
2907,Los Angeles,Los Angeles,73.09,95-100% (highest scores),0.049,12.84192716,0.956,761.16,89.23,0,1984.473328,3196.052323,78.65,39.85,5.08,7,0,73.81,9.01,81.13,16.94,33,22.4,65.4,3.9,29.1,78.18,8.11,Los Angeles
3753,Los Angeles,Los Angeles,72.93,95-100% (highest scores),0.045,12.05259566,0.784,787.94,91.64,0,3780.143188,3970.780012,27.6,19.05,0.225,0,1.25,65.15,7.96,113.88,27.88,51.8,18.3,52.7,6,43.6,88.38,9.17,Los Angeles
3809,Los Angeles,Los Angeles,72.78,95-100% (highest scores),0.046,11.84882762,0.357,787.94,79.91,0.14,2039.298991,2253.086852,7.1,30,1.045,7,2.5,70.96,8.66,88.26,15.22,32,13.7,46.1,6.2,31.6,80.98,8.4,Los Angeles
4768,Los Angeles,Bell Gardens,72.69,95-100% (highest scores),0.046,12.02968272,0.884,514.47,86.03,7.89,5507.243246,3172.78691,23.7,27.5,4.235,10,1.95,78.21,9.55,54.25,23.93,48.4,22.7,61.9,2.7,29.3,73.38,7.61,Los Angeles
3230,Los Angeles,Willowbrook,72.57,95-100% (highest scores),0.043,12.09535727,0.351,434.02,84.87,0,11159.9799,2114.729333,5.25,18,1.9,7,1.25,64.43,7.87,120.42,24.35,41.9,14.1,61.4,13,21.4,88.93,9.22,Los Angeles
4904,Los Angeles,West Rancho Dominguez,72.25,95-100% (highest scores),0.043,12.11292708,0.59,613.54,93.8,0,12166.54639,1070.0138240000001,13.05,33.1,0.635,0,5.5,65.24,7.97,121.6,19.26,45.6,17.7,45.9,6,40.6,87.44,9.07,Los Angeles
3794,Los Angeles,Bell,72,95-100% (highest scores),0.046,12.04351864,1.088,696.73,89.27,7.82,4605.206706,5116.249847,17,10.75,0.77,7,0,72.43,8.84,54.25,23.93,53.9,20.1,55.4,10,22.9,78.48,8.14,Los Angeles
